,ds,y
902,2012-06-21,724
903,2012-06-22,872
904,2012-06-23,919
905,2012-06-24,694
906,2012-06-25,653
907,2012-06-26,870
908,2012-06-27,801
909,2012-06-28,913
910,2012-06-29,1070
911,2012-06-30,1042
912,2012-07-01,701
913,2012-07-02,513
914,2012-07-03,732
915,2012-07-04,821
916,2012-07-05,827
917,2012-07-06,1371
918,2012-07-07,1377
919,2012-07-08,1056
920,2012-07-09,918
921,2012-07-10,1175
922,2012-07-11,942
923,2012-07-12,993
924,2012-07-13,1152
925,2012-07-14,1207
926,2012-07-15,852
927,2012-07-16,771
928,2012-07-17,784
929,2012-07-18,878
930,2012-07-19,947
931,2012-07-20,1092
932,2012-07-21,1217
933,2012-07-22,1181
934,2012-07-23,1151
935,2012-07-24,1675
936,2012-07-25,1060
937,2012-07-26,1116
938,2012-07-27,1622
939,2012-07-28,1534
940,2012-07-29,1419
941,2012-07-30,892
942,2012-07-31,842
943,2012-08-01,968
944,2012-08-02,932
945,2012-08-03,1078
946,2012-08-04,1078
947,2012-08-05,1101
948,2012-08-06,1230
949,2012-08-07,1518
950,2012-08-08,1422
951,2012-08-09,1598
952,2012-08-10,2148
953,2012-08-11,2189
954,2012-08-12,1815
955,2012-08-13,1180
956,2012-08-14,1293
957,2012-08-15,1443
958,2012-08-16,1335
959,2012-08-17,1401
960,2012-08-18,1638
961,2012-08-19,1250
962,2012-08-20,1084
963,2012-08-21,1140
964,2012-08-22,1460
965,2012-08-23,1383
966,2012-08-24,1526
967,2012-08-25,1560
968,2012-08-26,1210
969,2012-08-27,990
970,2012-08-28,918
971,2012-08-29,1013
972,2012-08-30,1140
973,2012-08-31,1055
974,2012-09-01,1028
975,2012-09-02,650
976,2012-09-03,570
977,2012-09-04,499
978,2012-09-05,664
979,2012-09-06,1075
980,2012-09-07,1035
981,2012-09-08,1156
982,2012-09-09,799
983,2012-09-10,731
984,2012-09-11,765
985,2012-09-12,777
986,2012-09-13,933
987,2012-09-14,1235
988,2012-09-15,1186
989,2012-09-16,749
990,2012-09-17,659
991,2012-09-18,848
992,2012-09-19,808
993,2012-09-20,1012
994,2012-09-21,1080
995,2012-09-22,1266
996,2012-09-23,900
997,2012-09-24,957
998,2012-09-25,795
999,2012-09-26,851
1000,2012-09-27,1068
1001,2012-09-28,1295
1002,2012-09-29,1095
1003,2012-09-30,835
1004,2012-10-01,667
1005,2012-10-02,576
1006,2012-10-03,637
1007,2012-10-04,686
1008,2012-10-05,806
1009,2012-10-06,937
1010,2012-10-07,894
1011,2012-10-08,659
1012,2012-10-09,608
1013,2012-10-10,551
1014,2012-10-11,830
1015,2012-10-12,984
1016,2012-10-13,1027
1017,2012-10-14,816
